company,holder of position,% of capital,communication date,position date
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.67,2015-06-22,2015-06-19
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.19,2015-06-19,2015-06-18
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.38,2015-06-18,2015-06-17
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.63,2015-06-17,2015-06-16
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.81,2015-06-16,2015-06-15
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.09,2015-06-15,2015-06-12
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.21,2015-06-05,2015-06-04
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.38,2015-04-30,2015-04-29
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.44,2015-04-29,2015-04-28
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.51,2015-02-11,2015-02-10
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.48,2015-02-10,2015-02-09
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.39,2015-02-09,2015-02-06
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.23,2015-02-05,2015-02-04
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.18,2015-02-04,2015-02-03
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.01,2015-02-02,2015-01-30
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.83,2015-01-28,2015-01-27
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.70,2015-01-26,2015-01-23
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.48,2015-01-08,2015-01-07
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.27,2015-01-07,2015-01-06
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.72,2015-01-06,2015-01-05
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.98,2014-11-26,2014-11-25
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.96,2014-11-25,2014-11-24
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.09,2014-11-19,2014-11-18
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.14,2014-11-17,2014-11-14
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,2.00,2014-11-14,2014-11-13
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.81,2014-11-13,2014-11-12
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.67,2014-11-12,2014-11-11
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.42,2014-11-11,2014-11-10
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.28,2014-11-07,2014-11-06
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.14,2014-11-05,2014-11-04
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,1.03,2014-10-09,2014-10-08
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.93,2014-10-07,2014-10-06
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.89,2014-10-06,2014-10-03
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.70,2014-10-03,2014-10-02
"PHAROL, SGPS, S.A.",Cheyne Capital Management (UK) LLP,0.52,2014-10-01,2014-09-30
"PHAROL, SGPS, S.A.",Contour Asset Management LLC,0.53,2014-07-09,2014-07-09
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.64,2014-06-25,2014-06-24
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.72,2014-06-19,2014-06-19
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.86,2014-06-18,2014-06-18
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.09,2014-06-12,2014-06-11
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.30,2014-06-10,2014-06-10
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.40,2014-06-06,2014-06-06
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.68,2014-06-05,2014-06-05
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.72,2014-03-28,2014-03-27
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,1.58,2014-03-27,2014-03-26
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.80,2014-03-26,2014-03-25
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.62,2014-03-25,2014-03-24
"PHAROL, SGPS, S.A.",Discovery Capital Management LLC,0.53,2014-03-24,2014-03-21
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.59,2015-05-28,2015-05-27
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.64,2015-05-27,2015-05-26
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.79,2015-05-22,2015-05-22
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.92,2015-05-22,2015-05-21
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.07,2015-05-21,2015-05-20
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.24,2015-05-20,2015-05-19
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.57,2015-05-19,2015-05-18
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.71,2015-05-18,2015-05-15
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.94,2015-05-15,2015-05-14
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.16,2015-05-14,2015-05-13
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.38,2015-05-13,2015-05-12
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.44,2015-05-12,2015-05-11
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.59,2015-04-27,2015-04-24
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.69,2015-04-24,2015-04-23
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.74,2015-04-23,2015-04-22
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.87,2015-04-21,2015-04-20
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.90,2015-04-20,2015-04-17
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,3.04,2015-01-29,2015-01-28
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.95,2015-01-28,2015-01-27
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.83,2015-01-27,2015-01-26
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.66,2015-01-26,2015-01-23
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.44,2015-01-20,2015-01-19
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.20,2015-01-19,2015-01-16
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.75,2015-01-07,2015-01-06
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.62,2014-12-18,2014-12-17
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.73,2014-12-17,2014-12-16
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.82,2014-12-16,2014-12-15
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.96,2014-12-08,2014-12-05
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.84,2014-12-02,2014-12-01
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.93,2014-10-23,2014-10-22
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.15,2014-10-22,2014-10-21
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.82,2014-09-16,2014-09-15
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.70,2014-09-12,2014-09-11
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.60,2014-09-11,2014-09-10
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.50,2014-09-09,2014-09-08
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.37,2014-09-08,2014-09-05
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.11,2014-08-29,2014-08-28
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.03,2014-07-18,2014-07-17
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.87,2014-07-17,2014-07-16
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.57,2014-07-16,2014-07-15
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.73,2014-07-04,2014-07-03
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.88,2014-06-09,2014-06-06
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.94,2014-06-06,2014-06-05
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,2.01,2014-05-22,2014-05-21
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.91,2014-05-14,2014-05-13
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.81,2014-05-01,2014-04-30
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.74,2014-04-30,2014-04-29
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,1.37,2014-04-28,2014-04-25
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.83,2014-04-25,2014-04-24
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.75,2014-04-24,2014-04-23
"PHAROL, SGPS, S.A.",Elliott Capital Advisors L.P *,0.64,2014-04-23,2014-04-22
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",0.82,2015-01-06,2015-01-05
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",1.13,2014-07-29,2014-07-28
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",1.00,2014-07-17,2014-07-16
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",0.95,2014-07-16,2014-07-15
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",0.62,2014-07-15,2014-07-14
"PHAROL, SGPS, S.A.","Falcon Edge Capital, LP",0.50,2014-07-14,2014-07-11
"PHAROL, SGPS, S.A.",FIL Fund Management Limited,0.51,2013-05-29,2013-05-28
"PHAROL, SGPS, S.A.",GAP GESTORA DE RECURSOS LTDA *,0.51,2014-09-23,2014-09-22
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.51,2018-05-03,2018-05-02
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.59,2016-12-23,2016-12-22
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.69,2016-09-27,2016-09-26
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.79,2016-09-08,2016-09-07
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.80,2016-06-21,2016-06-20
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.70,2016-06-01,2016-05-31
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.61,2016-05-25,2016-05-24
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.51,2016-04-26,2016-04-25
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.57,2016-03-01,2016-02-29
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.99,2016-02-26,2016-02-25
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.09,2016-02-24,2016-02-23
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.17,2016-02-19,2016-02-18
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.20,2016-01-14,2016-01-13
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.16,2016-01-04,2015-12-31
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.22,2015-11-11,2015-11-10
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.17,2015-10-23,2015-10-22
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.28,2015-10-13,2015-10-12
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.38,2015-10-08,2015-10-07
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.48,2015-10-02,2015-10-01
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.50,2015-10-01,2015-09-30
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.49,2015-09-18,2015-09-17
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.58,2015-09-11,2015-09-10
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.62,2015-09-08,2015-09-07
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.50,2015-08-24,2015-08-21
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.49,2015-08-21,2015-08-20
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.53,2015-08-20,2015-08-19
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.47,2015-08-17,2015-08-14
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.50,2015-08-14,2015-08-13
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.41,2015-08-12,2015-08-11
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.32,2015-08-07,2015-08-06
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.21,2015-08-04,2015-08-03
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.11,2015-07-29,2015-07-28
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,1.02,2015-07-27,2015-07-24
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.92,2015-07-21,2015-07-20
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.83,2015-07-16,2015-07-15
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.72,2015-07-10,2015-07-09
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.61,2015-07-07,2015-07-06
"PHAROL, SGPS, S.A.",GSA Capital Partners LLP,0.50,2015-07-02,2015-07-01
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.59,2014-07-25,2014-07-24
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.68,2014-07-23,2014-07-22
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.79,2014-07-18,2014-07-18
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.84,2014-07-17,2014-07-16
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.79,2014-07-15,2014-07-14
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,1.07,2014-07-11,2014-07-10
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,1.18,2014-07-09,2014-07-08
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,1.47,2014-02-21,2014-02-20
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,1.02,2014-02-04,2014-02-03
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.90,2013-10-30,2013-10-29
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.71,2013-10-10,2013-10-09
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.84,2013-10-02,2013-10-01
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.78,2013-09-16,2013-09-13
"PHAROL, SGPS, S.A.",Hengistbury Investment Partners LLP,0.61,2013-08-23,2013-08-22
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.53,2014-10-14,2014-10-13
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.76,2014-10-10,2014-10-10
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.90,2014-09-16,2014-09-16
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.05,2014-09-15,2014-09-15
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.31,2014-07-09,2014-07-09
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.23,2014-07-08,2014-07-07
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.00,2014-07-07,2014-07-04
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.60,2014-07-04,2014-07-03
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.53,2014-01-08,2014-01-07
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.67,2014-01-07,2014-01-06
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.76,2014-01-06,2014-01-03
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.91,2013-12-12,2013-12-11
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.00,2013-12-11,2013-12-10
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.20,2013-11-21,2013-11-21
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.04,2013-10-25,2013-10-25
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.44,2013-06-24,2013-06-21
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.25,2013-06-04,2013-06-03
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.16,2013-06-03,2013-05-31
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,1.00,2013-05-31,2013-05-30
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.92,2013-05-30,2013-05-29
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.84,2013-05-20,2013-05-17
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.76,2013-05-16,2013-05-15
"PHAROL, SGPS, S.A.",Jericho Capital Asset Management LP,0.61,2013-04-30,2013-04-30
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.50,2016-02-26,2016-02-25
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.52,2015-05-04,2015-04-30
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.59,2015-04-17,2015-04-16
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.68,2015-03-19,2015-03-18
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.75,2015-03-18,2015-03-17
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.83,2015-02-09,2015-02-06
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.73,2015-02-04,2015-02-03
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.64,2015-01-26,2015-01-23
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.65,2014-11-26,2014-11-25
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.60,2014-11-18,2014-11-17
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.52,2014-09-25,2014-09-24
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.62,2014-07-29,2014-07-28
"PHAROL, SGPS, S.A.",LOGOS INTERNATIONAL SICAV-FIS *,0.52,2014-07-17,2014-07-16
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.63,2017-09-18,2017-09-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.78,2017-09-15,2017-09-14
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.82,2017-09-14,2017-09-13
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.99,2017-09-07,2017-09-06
"PHAROL, SGPS, S.A.",Marshall Wace LLP,1.08,2017-08-16,2017-08-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,1.19,2017-07-28,2017-07-27
"PHAROL, SGPS, S.A.",Marshall Wace LLP,1.15,2017-05-19,2017-05-18
"PHAROL, SGPS, S.A.",Marshall Wace LLP,1.00,2017-05-16,2017-05-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.94,2017-05-12,2017-05-11
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.80,2017-05-09,2017-05-08
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.74,2017-05-08,2017-05-05
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.60,2017-05-03,2017-05-02
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.51,2017-04-28,2017-04-27
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.51,2015-07-07,2015-07-06
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.54,2014-10-21,2014-10-20
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.51,2014-07-31,2014-07-30
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.61,2014-07-30,2014-07-29
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.78,2014-07-25,2014-07-24
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.80,2014-07-16,2014-07-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.74,2014-07-14,2014-07-11
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.53,2014-07-10,2014-07-09
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.61,2014-07-09,2014-07-08
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.52,2014-07-07,2014-07-04
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.58,2014-06-24,2014-06-23
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.69,2014-06-20,2014-06-19
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.74,2014-06-18,2014-06-17
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.83,2014-06-13,2014-06-12
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.70,2014-06-09,2014-06-06
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.65,2014-05-20,2014-05-19
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.71,2014-05-14,2014-05-13
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.66,2014-05-09,2014-05-08
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.77,2014-04-30,2014-04-29
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.80,2014-04-28,2014-04-25
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.76,2014-04-25,2014-04-24
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.82,2014-04-22,2014-04-17
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.72,2014-04-16,2014-04-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.63,2014-04-14,2014-04-11
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.52,2014-04-10,2014-04-09
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.58,2014-03-24,2014-03-21
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.69,2014-03-19,2014-03-18
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.78,2014-03-17,2014-03-14
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.83,2014-02-27,2014-02-26
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.70,2014-02-24,2014-02-21
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.67,2014-02-21,2014-02-20
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.59,2014-02-14,2014-02-13
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.69,2014-02-11,2014-02-10
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.79,2014-02-07,2014-02-06
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.81,2014-01-23,2014-01-22
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.72,2014-01-16,2014-01-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.63,2014-01-14,2014-01-13
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.52,2013-12-23,2013-12-20
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.51,2013-12-12,2013-12-11
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.55,2013-11-28,2013-11-27
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.63,2013-11-26,2013-11-25
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.53,2013-11-22,2013-11-21
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.51,2013-09-09,2013-09-06
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.60,2013-09-06,2013-09-05
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.70,2013-08-30,2013-08-29
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.68,2013-08-16,2013-08-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.72,2013-08-09,2013-08-08
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.60,2013-08-06,2013-08-05
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.59,2013-08-02,2013-08-01
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.68,2013-07-26,2013-07-25
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.77,2013-07-24,2013-07-23
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.81,2013-07-18,2013-07-17
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.76,2013-07-16,2013-07-15
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.69,2013-07-10,2013-07-09
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.72,2013-07-03,2013-07-02
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.62,2013-07-01,2013-06-28
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.53,2013-06-26,2013-06-25
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.50,2013-04-08,2013-04-05
"PHAROL, SGPS, S.A.",Marshall Wace LLP,0.50,2013-03-07,2013-03-06
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.75,2013-10-03,2013-10-02
"PHAROL, SGPS, S.A.",Meditor Capital Management,1.31,2013-09-05,2013-09-04
"PHAROL, SGPS, S.A.",Meditor Capital Management,1.23,2013-09-02,2013-08-30
"PHAROL, SGPS, S.A.",Meditor Capital Management,1.10,2013-08-27,2013-08-23
"PHAROL, SGPS, S.A.",Meditor Capital Management,1.06,2013-08-15,2013-08-14
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.92,2013-01-15,2013-01-14
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.86,2013-01-14,2013-01-11
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.70,2013-01-08,2013-01-07
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.62,2013-01-03,2013-01-02
"PHAROL, SGPS, S.A.",Meditor Capital Management,0.57,2012-12-13,2012-12-12
"PHAROL, SGPS, S.A.",Millennium International Management LP,1.00,2013-12-05,2013-12-04
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.92,2013-11-27,2013-11-26
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.80,2013-11-19,2013-11-18
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.79,2013-10-25,2013-10-24
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.80,2013-10-14,2013-10-11
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.70,2013-09-24,2013-09-23
